conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,errl_fit_sim,errh_fit_sim,errl_fit_obs,errh_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,rchi2_sim,rchi2_obs,conf_,wide_
conf5,2.9mrs0,1518.066650390625,1477.724853515625,0.002976276369619944,1.0,1.8732662200927734,1518.066650390625,1494.7607421875,1518.066650390625,1518.066650390625,1479.5762939453125,1510.0487060546875,1367.2109375,1334.572021484375,757.4036865234375,736.8697509765625,5.200056032019476e-16,0.0018432408006323461,5.0,2.9
conf5,5.7mrs0,6072.2666015625,5642.27294921875,0.007641719335296755,1.0,1.9425244331359863,6072.2666015625,5761.5791015625,6072.2666015625,6072.2666015625,5678.37939453125,5845.58642578125,5465.75390625,5259.6416015625,3030.17626953125,2962.33056640625,5.835840744460279e-16,0.007446558768892913,5.0,5.7
conf5,8.6mrs0,13662.5986328125,12674.888671875,0.013759862916190765,1.0,1.9562126398086548,13662.5986328125,12938.0888671875,13662.5986328125,13662.5986328125,12723.8251953125,13154.748046875,12296.10546875,11772.56640625,6820.71533203125,6653.705078125,5.480482109175955e-16,0.011910704595803057,5.0,8.6
conf5,11.4mrs0,24289.06640625,22457.58203125,0.016629490184281913,1.0,2.013540267944336,24289.06640625,23404.58203125,24289.06640625,24289.06640625,23044.505859375,23768.38671875,21862.298828125,21504.830078125,12147.08203125,12112.48046875,5.582978571721675e-16,0.010435150417631498,5.0,11.4
conf5,14.2mrs0,37951.66796875,33425.55078125,0.0158063334993014,1.0,2.182319164276123,37951.66796875,34897.24609375,37951.66796875,37951.66796875,34440.5390625,35357.9921875,34154.3125,32723.521484375,18981.302734375,19270.82421875,5.437146845229725e-16,0.007679576844953601,5.0,14.2
conf5,17.1mrs0,54650.3828125,44475.84765625,0.012058038011093168,1.0,2.2062439918518066,54650.3828125,46362.0078125,54650.3828125,54650.3828125,45885.6953125,46841.61328125,49186.1328125,44011.90234375,27325.32421875,27124.08984375,5.524999079016871e-16,0.004818070445715911,5.0,17.1
conf5,19.9mrs0,74385.1875,57917.6328125,0.010540840083738054,1.0,2.1282756328582764,74385.1875,60468.5546875,74385.1875,74385.1875,59906.35546875,61034.2265625,66949.3984375,57587.95703125,37201.1484375,36168.21484375,5.577690988418375e-16,0.004036090012263391,5.0,19.9
conf5,22.8mrs0,97156.203125,71934.0703125,0.01200266317326721,1.0,2.043431043624878,97156.203125,75604.796875,97156.203125,97156.203125,74544.78125,76674.7578125,87440.09375,71843.3984375,48576.83203125,46240.40234375,5.68073595309778e-16,0.00938022076308479,5.0,22.8
conf5,25.7mrs0,122963.390625,83664.0625,0.013128989639127902,1.0,1.9289084672927856,122963.390625,88259.2890625,122963.390625,122963.390625,86322.4921875,90224.8359375,110671.3828125,83564.8828125,61474.33984375,55720.31640625,5.707655733195663e-16,0.023341231138986115,5.0,25.7
conf5,28.5mrs0,151806.703125,97093.46875,0.020181339210112958,1.0,1.9511187076568604,151806.703125,102019.515625,151806.703125,151806.703125,98396.4609375,105730.09375,136624.109375,96269.3046875,75903.6484375,65737.3203125,5.776336025734072e-16,0.061301050352235764,5.0,28.5
conf5,31.4mrs0,183686.03125,97219.859375,0.01711747472910905,1.0,1.9141819477081299,183686.03125,100935.1796875,183686.03125,183686.03125,96695.1484375,105296.453125,165311.46875,96037.4453125,91848.796875,70974.0078125,5.840250981972434e-16,0.08501550837303731,5.0,31.4
conf5,34.2mrs0,218601.46875,94515.0234375,0.021109117665043423,1.0,2.0676560401916504,218601.46875,97192.4765625,218601.46875,218601.46875,92291.8046875,102261.6171875,196739.859375,92100.8046875,109303.7734375,75633.8828125,5.98205633875435e-16,0.11813136879255927,5.0,34.2
conf5,37.1mrs0,256553.125,95461.890625,0.021197368896461944,1.0,1.9627522230148315,256553.125,98791.28125,256553.125,256553.125,94332.1015625,103386.4609375,230902.46875,92805.46875,128252.5390625,78711.6640625,6.102050860671093e-16,0.09828791461942159,5.0,37.1
conf5,39.9mrs0,297540.84375,83965.546875,0.02733726391911419,1.0,1.8105701208114624,297540.84375,84944.6953125,297540.84375,297540.84375,80947.3203125,89069.46875,267783.6875,77738.9609375,148769.15625,72922.7265625,6.202463956801491e-16,0.10367893916098325,5.0,39.9
conf5,42.8mrs0,341564.40625,74922.2734375,0.030244039716949743,1.0,1.6119086742401123,341564.40625,77435.28125,341564.40625,341564.40625,73142.828125,81889.6328125,307408.8125,63556.61328125,170773.59375,66395.578125,6.260440653916794e-16,0.13741239175159228,5.0,42.8
