conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,conf_,wide_
conf1,2.9mrs0,39.468482971191406,31.158926010131836,0.0007599217517943851,1.0,0.6779776215553284,39.468482971191406,31.86833953857422,35.3295107398583,19.485084533691406,18.503883934956335,7.600236892700195,1.0,2.9
conf1,5.7mrs0,157.87393188476562,114.10296630859375,0.0025513852279351185,1.0,1.164389729499817,157.87393188476562,117.40409851074219,141.4386193787942,100.2099380493164,78.71248508824904,50.9507942199707,1.0,5.7
conf1,8.6mrs0,355.21636962890625,234.26089477539062,0.004244186039360973,1.0,1.3492391109466553,355.21636962890625,242.21603393554688,319.9709649700717,223.05662536621094,175.0341177696655,119.61320495605469,1.0,8.6
conf1,11.4mrs0,631.4957275390625,371.68377685546875,0.00636954098135617,1.0,1.383901834487915,631.4957275390625,384.67401123046875,568.6505442977669,366.6466979980469,315.43250204010633,216.23794555664062,1.0,11.4
conf1,14.2mrs0,986.7120971679688,496.63519287109375,0.008896651735605625,1.0,1.3769408464431763,986.7120971679688,514.7879028320312,886.1281914355636,497.67041015625,487.9119386248965,320.79949951171875,1.0,14.2
conf1,17.1mrs0,1420.865478515625,589.3304443359375,0.011668515572552964,1.0,1.2692593336105347,1420.865478515625,611.32666015625,1279.7040003528446,586.9038696289062,708.5141486741338,414.1563415527344,1.0,17.1
conf1,19.9mrs0,1933.955810546875,628.853759765625,0.014666387010492492,1.0,1.1317799091339111,1933.955810546875,652.9240112304688,1741.3536415552103,609.91162109375,973.2309266326943,481.4901123046875,1.0,19.9
conf1,22.8mrs0,2525.983154296875,614.73388671875,0.0176132551629838,1.0,0.9793111085891724,2525.983154296875,639.4423217773438,2273.036656046001,560.06103515625,1266.08297385273,513.0146484375,1.0,22.8
conf1,25.7mrs0,3196.947021484375,546.2965698242188,0.020064623180126164,1.0,0.8124701380729675,3196.947021484375,570.3301391601562,2878.8311772789625,439.9210205078125,1599.0277131110142,492.87847900390625,1.0,25.7
conf1,28.5mrs0,3946.847900390625,449.8865966796875,0.02174920213159205,1.0,0.6442475914955139,3946.847900390625,473.270751953125,3551.868430545609,285.31121826171875,1972.0734163876818,436.78387451171875,1.0,28.5
conf1,31.4mrs0,4775.6865234375,345.4058837890625,0.022719695044136366,1.0,0.4939216375350952,4775.68603515625,369.6708679199219,4298.566326609596,130.355712890625,2389.23429489377,356.92950439453125,1.0,31.4
conf1,34.2mrs0,5683.4609375,249.6546630859375,0.023204183451686042,1.0,0.3577037751674652,5683.4609375,275.4331970214844,5117.354525042917,1.6728897094726562,2844.4840160988206,273.5140075683594,1.0,34.2
conf1,37.1mrs0,6670.1728515625,172.6971435546875,0.02345466263283955,1.0,0.24834240972995758,6670.1728515625,202.82472229003906,6001.789723527418,-78.43803405761719,3341.88053570156,202.74545288085938,1.0,37.1
conf1,39.9mrs0,7735.8212890625,121.33204650878906,0.022921584544881544,1.0,0.1696612387895584,7735.8212890625,157.10260009765625,6965.09961568483,-110.68164825439453,3875.3803403943093,154.37527465820312,1.0,39.9
conf1,42.8mrs0,8880.3955078125,87.9927749633789,0.02191280533911864,1.0,0.13124100863933563,8880.3955078125,130.6232452392578,7993.683358481926,-110.89257049560547,4436.982419974058,125.24983215332031,1.0,42.8
