conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,errl_fit_sim,errh_fit_sim,errl_fit_obs,errh_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,rchi2_sim,rchi2_obs,conf_,wide_
conf7,0.7mrs0,527.0656127929688,539.199462890625,0.00010039801506689749,1.0,1.6500985622406006,527.0656127929688,539.4641723632812,527.0656127929688,527.0656127929688,536.8555908203125,542.0809936523438,473.9162292480469,456.7607421875,263.3645324707031,235.06002807617188,5.053360735773149e-16,0.00024353744545035867,7.0,0.7
conf7,1.3mrs0,2108.2626953125,2086.181396484375,0.00034244523102694126,1.0,1.8775678873062134,2108.2626953125,2105.747802734375,2108.2626953125,2108.2626953125,2087.976806640625,2123.619140625,1897.691650390625,1878.869384765625,1055.9869384765625,1008.563720703125,4.817053539132849e-16,0.0014988083533688645,7.0,1.3
conf7,2.0mrs0,4743.59033203125,4448.95849609375,0.0006036617960716154,1.0,1.9018274545669556,4743.59033203125,4517.974609375,4743.59033203125,4743.59033203125,4468.98876953125,4567.31640625,4267.876953125,4111.3798828125,2376.30078125,2297.064453125,5.75858872859108e-16,0.0037152790198649497,7.0,2.0
conf7,2.6mrs0,8433.046875,7300.51904296875,0.0008225953975384568,1.0,1.865943193435669,8433.046875,7472.31298828125,8433.046875,8433.046875,7383.35498046875,7561.98486328125,7590.0712890625,6924.40087890625,4216.32666015625,3976.52587890625,5.296226761717429e-16,0.005988455841259816,7.0,2.6
conf7,3.3mrs0,13176.6376953125,10234.4501953125,0.0010199020001270501,1.0,1.7973405122756958,13176.6376953125,10521.2939453125,13176.6376953125,13176.6376953125,10389.21484375,10654.4912109375,11859.837890625,9909.828125,6588.14306640625,5869.3583984375,5.59947200160563e-16,0.008304145206868336,7.0,3.3
conf7,3.9mrs0,18974.361328125,12577.673828125,0.0012157632702925853,1.0,1.6654796600341797,18974.361328125,12986.666015625,18974.361328125,18974.361328125,12807.6162109375,13167.375,17075.21875,12407.8583984375,9489.6953125,7673.48876953125,5.436653880177071e-16,0.011978959157938682,7.0,3.9
conf7,4.6mrs0,25826.212890625,13197.650390625,0.0015375090420211108,1.0,1.441901445388794,25826.212890625,13656.4287109375,25826.212890625,25826.212890625,13424.4951171875,13891.01953125,23244.1953125,13175.216796875,12914.9404296875,8749.98046875,5.376987212450577e-16,0.021035734684210473,7.0,4.6
conf7,5.2mrs0,33732.203125,10656.955078125,0.0020194949567594765,1.0,1.0875431299209595,33732.203125,11026.2421875,33732.203125,33732.203125,10737.5068359375,11320.10546875,30360.75,10412.5166015625,16857.8984375,8067.9345703125,5.475517317396612e-16,0.055418315067888385,7.0,5.2
conf7,5.9mrs0,42692.31640625,7133.06396484375,0.00211729221703571,1.0,0.7340735793113708,42692.31640625,7339.40234375,42692.31640625,42692.31640625,7048.9169921875,7637.759765625,38422.1171875,5973.6201171875,21340.60546875,6180.7001953125,5.483490187889617e-16,0.13179954778287806,7.0,5.9
conf7,6.5mrs0,52706.546875,4635.01123046875,0.0018295485205409188,1.0,0.48356351256370544,52706.546875,4718.79443359375,52706.546875,52706.546875,4471.64990234375,4974.8876953125,47436.671875,2700.8876953125,26345.08203125,4382.462890625,5.461830690717885e-16,0.22920502821465372,7.0,6.5
conf7,7.2mrs0,63774.9453125,2875.18310546875,0.0014979132507020063,1.0,0.29720261693000793,63774.9453125,2896.582763671875,63774.9453125,63774.9453125,2703.576416015625,3098.56298828125,57399.2265625,773.020751953125,31895.271484375,2805.890869140625,5.577221315605173e-16,0.3484267046091112,7.0,7.2
conf7,7.8mrs0,75897.4765625,1575.2396240234375,0.001275588192410842,1.0,0.16420666873455048,75897.4765625,1570.8212890625,75897.4765625,75897.4765625,1431.3046875,1719.120361328125,68309.7734375,-71.90067291259766,37961.17578125,1485.7747802734375,5.519854429794353e-16,0.5127881459653754,7.0,7.8
conf7,8.5mrs0,89074.0078125,763.802978515625,0.0010493484476272752,1.0,0.08172700554132462,89074.0234375,752.4522705078125,89074.0234375,89074.0234375,658.7129516601562,854.6879272460938,80168.3203125,-194.78897094726562,44552.80859375,620.9775390625,5.587937482409055e-16,0.6971691774885226,7.0,8.5
conf7,9.1mrs0,103304.875,336.8790283203125,0.0008037410067380695,1.0,0.03792819380760193,103304.875,330.78179931640625,103304.875,103304.875,271.96649169921875,397.51812744140625,92976.03125,-100.77489471435547,51646.19921875,165.99095153808594,5.524594426440416e-16,0.8402737963910826,7.0,9.1
conf7,9.8mrs0,118589.703125,157.55670166015625,0.0005567418249850796,1.0,0.02042166329920292,118589.703125,157.2479705810547,118589.703125,118589.703125,123.32610321044922,196.88119506835938,106726.9765625,-24.550182342529297,59289.3125,6.419401168823242,5.655875814131718e-16,0.8952619129064425,7.0,9.8
