conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,errl_fit_sim,errh_fit_sim,errl_fit_obs,errh_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,rchi2_sim,rchi2_obs,conf_,wide_
conf4,2.9mrs0,535.0550537109375,533.5925903320312,0.0005495927454974658,1.0,1.7547050714492798,535.0550537109375,536.773193359375,535.0550537109375,535.0550537109375,535.5509033203125,537.9974365234375,481.25445556640625,466.5343017578125,268.5989990234375,240.18682861328125,5.692140131948623e-16,5.422628064974495e-05,4.0,2.9
conf4,5.7mrs0,2140.22021484375,2098.98388671875,0.0025420045475920082,1.0,1.918388843536377,2140.22021484375,2124.29345703125,2140.22021484375,2140.22021484375,2113.107666015625,2135.5185546875,1925.9027099609375,1907.55078125,1068.9129638671875,1039.466064453125,5.083942726229726e-16,0.0005861994432881885,4.0,5.7
conf4,8.6mrs0,4815.49609375,4633.55859375,0.005938259585595478,1.0,1.9379777908325195,4815.49609375,4719.05810546875,4815.49609375,4815.49609375,4684.44384765625,4753.84375,4332.833984375,4273.79345703125,2409.332763671875,2377.434814453125,5.705705388743346e-16,0.0013879739400668256,4.0,8.6
conf4,11.4mrs0,8560.880859375,8035.84375,0.00961458463015713,1.0,1.9437435865402222,8560.880859375,8256.9755859375,8560.880859375,8560.880859375,8180.30322265625,8334.126953125,7706.0634765625,7539.0576171875,4287.9755859375,4217.7978515625,5.678847852202313e-16,0.002256933770041242,4.0,11.4
conf4,14.2mrs0,13376.376953125,12140.6337890625,0.011328919410347067,1.0,1.9463950395584106,13376.376953125,12543.2529296875,13376.376953125,13376.376953125,12408.2998046875,12679.181640625,12036.796875,11564.6171875,6684.7939453125,6548.9560546875,5.508241022377078e-16,0.003084092543192564,4.0,14.2
conf4,17.1mrs0,19261.9765625,16751.681640625,0.011851897085909875,1.0,1.932586669921875,19261.9765625,17359.20703125,19261.9765625,19261.9765625,17154.361328125,17565.68359375,17332.65234375,16149.3349609375,9625.7744140625,9319.271484375,5.369881993396616e-16,0.0037879777191850276,4.0,17.1
conf4,19.9mrs0,26217.693359375,21636.40234375,0.013153004180806265,1.0,1.9039037227630615,26217.693359375,22493.869140625,26217.693359375,26217.693359375,22210.341796875,22779.798828125,23595.18359375,21104.21875,13104.96875,12383.31640625,5.661373846707092e-16,0.0044258131431311664,4.0,19.9
conf4,22.8mrs0,34243.53515625,26497.7265625,0.01474355609428506,1.0,1.8471357822418213,34243.53515625,27663.84765625,34243.53515625,34243.53515625,27295.228515625,28035.767578125,30821.60546875,26141.455078125,17108.359375,15645.8955078125,5.618446492025619e-16,0.005076900716764134,4.0,22.8
conf4,25.7mrs0,43339.453125,31016.400390625,0.015542643006350599,1.0,1.7866355180740356,43339.453125,32490.8046875,43339.453125,43339.453125,32032.572265625,32953.37890625,39007.9296875,30864.400390625,21669.927734375,18939.625,5.750838846996178e-16,0.005844374779764507,4.0,25.7
conf4,28.5mrs0,53505.51953125,34907.1484375,0.01480976730073405,1.0,1.706999659538269,53505.51953125,36635.59765625,53505.51953125,53505.51953125,36081.5078125,37195.30078125,48152.546875,34937.62109375,26741.67578125,22104.197265625,5.743302100420094e-16,0.006908646292577841,4.0,28.5
conf4,31.4mrs0,64741.640625,37857.359375,0.014516575042747608,1.0,1.6085622310638428,64741.640625,39811.77734375,64741.640625,64741.640625,39150.25,40480.64453125,58267.875,38037.98046875,32367.580078125,24921.46875,5.921436608935013e-16,0.008566034659617685,4.0,31.4
conf4,34.2mrs0,77047.921875,39731.953125,0.01713943604956641,1.0,1.4990952014923096,77047.921875,41940.62890625,77047.921875,77047.921875,41163.078125,42727.6953125,69343.5078125,40041.4140625,38525.6875,27306.9375,5.943073737540156e-16,0.010943020003284515,4.0,34.2
conf4,37.1mrs0,90424.3203125,40682.58984375,0.018432944707086073,1.0,1.391440987586975,90424.3203125,43051.93359375,90424.3203125,90424.3203125,42174.4921875,43941.05078125,81386.203125,40971.07421875,45221.9765625,29162.810546875,6.089531503159543e-16,0.013571228960830658,4.0,37.1
conf4,39.9mrs0,104870.8046875,40575.578125,0.01964712059711894,1.0,1.277107834815979,104870.8046875,43030.96875,104870.8046875,104870.8046875,42064.125,44011.81640625,94384.0,40684.58984375,52440.42578125,30412.62109375,6.18289707973023e-16,0.01687472861450383,4.0,39.9
conf4,42.8mrs0,120387.2421875,39183.57421875,0.02294373088998155,1.0,1.169313669204712,120387.2421875,41701.2734375,120387.2421875,120387.2421875,40642.203125,42777.48828125,108348.1328125,38877.72265625,60185.09765625,30895.19140625,6.29419228081655e-16,0.02184427989292334,4.0,42.8
