conf,conf_float,mrs,mrs_errl,mrs_errh,mrs_err20
conf0,0.0,44.20944319443195,3.4892436924369292,2.8440806408064034,8.84188863888639
conf1,1.0,32.972572325723256,0.5628470284702871,0.4705693056930542,6.594514465144652
conf2,2.0,33.59991959919599,0.4251366513665147,0.3926511265112609,6.719983919839199
conf3,3.0,34.87532955329553,0.48869528695286846,0.37993939939399723,6.975065910659106
conf4,4.0,17.085267452674525,0.11652416524165332,0.16925429254292723,3.4170534905349053
conf5,5.0,14.938868788687886,0.07321013210132143,0.0741517415174151,2.9877737577375774
conf6,6.0,9.09429914299143,0.018125981259812463,0.019067590675906132,1.818859828598286
conf7,7.0,4.685573855738558,0.007761677616776375,0.008624086240862638,0.9371147711477117
conf8,8.0,3.0661233612336125,0.02188251882518788,0.021882518825188324,0.6132246722467225
conf9,9.0,0.9524846748467486,0.007863428634286351,0.007975629756297509,0.19049693496934972
conf10,10.0,1.3068614686146862,0.01387113871138701,0.013985539855398743,0.26137229372293724
