conf,conf_float,mrs,mrs_errl,mrs_errh,mrs_err20
conf0,0.0,28.672292172921725,23.420286352863524,30.32305778057781,5.7344584345843455
conf1,1.0,17.228156681566812,3.1143731437314344,3.6934629346293484,3.4456313363133626
conf2,2.0,16.978159381593816,0.6991955919559167,1.5387778877788776,3.395631876318763
conf3,3.0,18.57206872068721,1.2069078690786945,1.0115239152391489,3.714413744137442
conf4,4.0,15.358591185911855,0.30014240142400794,0.3311330113301185,3.0717182371823712
conf5,5.0,9.905966459664596,0.0741935419354185,0.12194281942819529,1.9811932919329192
conf6,6.0,7.827834478344782,0.017404374043739068,-2.2635597355973545,1.5655668956689563
conf7,7.0,2.5177480774807752,0.1395627956279566,0.16803328033280307,0.5035496154961551
conf8,8.0,3.071452914529146,0.022070620706207578,0.022509525095250726,0.6142905829058293
conf9,9.0,0.7866327163271634,0.028265332653326536,0.053080480804807983,0.1573265432654327
conf10,10.0,1.4630996166315255,0.5264688503238623,0.3223590379550205,0.2926199233263051
