conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,errl_fit_sim,errh_fit_sim,errl_fit_obs,errh_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,rchi2_sim,rchi2_obs,conf_,wide_
conf10,0.2mrs0,915.1901245117188,943.3707275390625,0.000522559298945481,1.0,1.8342325687408447,915.1901245117188,939.3134155273438,915.1901245117188,915.1901245117188,930.1837158203125,948.5028686523438,822.248779296875,817.7655029296875,456.8717346191406,433.03143310546875,5.545420828168255e-16,0.0013047436890975081,10.0,0.2
conf10,0.3mrs0,3660.76025390625,3686.08447265625,0.0016245453588318076,1.0,1.9681825637817383,3660.76025390625,3684.992431640625,3660.76025390625,3660.76025390625,3597.372314453125,3774.024169921875,3293.87158203125,3295.03857421875,1830.1588134765625,1814.1409912109375,5.931410049132503e-16,0.015628379257684493,10.0,0.3
conf10,0.5mrs0,8236.7109375,7911.3955078125,0.0026151655695827785,1.0,1.939605474472046,8236.7109375,8011.1240234375,8236.7109375,8236.7109375,7774.38134765625,8252.626953125,7412.18017578125,7281.45947265625,4120.2470703125,4055.85595703125,5.353953360799676e-16,0.03583184478253799,10.0,0.5
conf10,0.7mrs0,14643.0419921875,13297.40234375,0.0032549020793407545,1.0,1.9693924188613892,14643.0419921875,13554.33984375,14643.0419921875,14643.0419921875,13115.0537109375,14003.330078125,13180.7646484375,12517.1181640625,7315.13232421875,7073.849609375,5.640601641904677e-16,0.05632266792879083,10.0,0.7
conf10,0.9mrs0,22879.75,23312.98828125,0.0037717867139197077,1.0,1.8827121257781982,22879.75,19850.25,22879.75,22879.75,19114.890625,20604.23046875,20594.0234375,18513.244140625,11436.8427734375,10714.16796875,5.422640951912293e-16,0.08923776840820109,10.0,0.9
conf10,1.0mrs0,32946.8515625,29347.3515625,0.003931223415034476,1.0,1.8373126983642578,32946.8515625,25755.17578125,32946.8515625,32946.8515625,24818.6796875,26714.9375,29653.171875,24391.740234375,16481.419921875,14652.986328125,5.387954611283389e-16,0.10160063371937239,10.0,1.0
conf10,1.2mrs0,44844.3125,30571.173828125,0.005800477671574877,1.0,1.8643289804458618,44844.3125,25636.373046875,44844.3125,44844.3125,24256.767578125,27067.314453125,40363.3984375,24019.923828125,22430.81640625,16716.458984375,5.414975793337778e-16,0.22571110291605428,10.0,1.2
conf10,1.4mrs0,58572.171875,19784.21484375,0.006716620285732369,1.0,1.4590716361999512,58572.171875,17387.392578125,58572.171875,58572.171875,15857.1376953125,19013.0546875,52718.296875,12701.1201171875,29285.03515625,13417.85546875,5.564982540093688e-16,0.47649540600827683,10.0,1.4
conf10,1.5mrs0,74130.390625,14781.7763671875,0.0049082284355704345,1.0,0.9795534014701843,74130.390625,11133.6376953125,74130.390625,74130.390625,10019.189453125,12327.814453125,66719.8984375,3715.668212890625,37052.05859375,9396.3828125,5.5556572669353e-16,0.5712474047121358,10.0,1.5
conf10,1.7mrs0,91518.984375,10329.65625,0.00329822339016687,1.0,0.6157838702201843,91518.984375,8360.791015625,91518.984375,91518.984375,7481.60693359375,9306.27734375,82364.171875,392.33740234375,45757.92578125,6162.38671875,5.563885846432402e-16,0.621102906180861,10.0,1.7
conf10,1.9mrs0,110737.953125,8238.2236328125,0.002815365684878126,1.0,0.45534589886665344,110737.953125,6644.4814453125,110737.953125,110737.953125,5850.115234375,7507.6884765625,99659.9296875,-754.3338623046875,55374.63671875,4031.18408203125,5.540110550612121e-16,0.7021254342504146,10.0,1.9
conf10,2.0mrs0,131787.28125,6747.6416015625,0.0024499251010859048,1.0,0.31690967082977295,131787.28125,5281.21826171875,131787.28125,131787.28125,4556.1494140625,6079.39599609375,118605.59375,-680.2003173828125,65904.1640625,2801.780029296875,5.467407396833994e-16,0.7745455897358596,10.0,2.0
conf10,2.2mrs0,154667.03125,7190.234375,0.002117655880209269,1.0,0.23753701150417328,154667.03125,4216.37109375,154667.03125,154667.03125,3483.703857421875,5045.17138671875,139199.890625,-628.1441650390625,77334.5234375,1551.2252197265625,5.540564028473614e-16,0.8597623435803191,10.0,2.2
conf10,2.4mrs0,179377.140625,6272.69775390625,0.0018589731344429213,1.0,0.13498413562774658,179377.140625,4667.3017578125,179377.140625,179377.140625,3618.109375,5901.75,161436.5,-520.1224365234375,89681.7109375,729.781982421875,5.513312862010123e-16,0.9200292698048497,10.0,2.4
conf10,2.6mrs0,205917.484375,5554.77734375,0.0016581998224701228,1.0,0.07168176025152206,205917.484375,5576.35302734375,205917.484375,205917.484375,4141.54931640625,7253.298828125,185327.0,-395.0719909667969,102959.71875,269.10882568359375,5.484954834999702e-16,0.9454430372431424,10.0,2.6
