conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,conf_,wide_
conf1,2.9mrs0,39.468482971191406,34.25856399536133,0.00012788246997268296,1.0,0.710709810256958,39.468482971191406,34.287044525146484,35.3295107398583,20.472301483154297,18.503883934956335,7.9704179763793945,1.0,2.9
conf1,5.7mrs0,157.87393188476562,128.45248413085938,0.0004233238690471876,1.0,1.2469887733459473,157.87393188476562,130.60269165039062,141.4386193787942,108.52537536621094,78.71248508824904,54.286712646484375,1.0,5.7
conf1,8.6mrs0,355.21636962890625,269.38494873046875,0.0009978193435467634,1.0,1.4312020540237427,355.21636962890625,276.0262756347656,319.9709649700717,246.94656372070312,175.0341177696655,128.69789123535156,1.0,8.6
conf1,11.4mrs0,631.4957275390625,430.41302490234375,0.001722221455582726,1.0,1.451052188873291,631.4957275390625,443.8716125488281,568.6505442977669,411.02044677734375,315.43250204010633,231.23394775390625,1.0,11.4
conf1,14.2mrs0,986.7120971679688,566.24755859375,0.002827702444563213,1.0,1.3835461139678955,986.7120971679688,587.4893188476562,886.1281914355636,556.2978515625,487.9119386248965,336.1645812988281,1.0,14.2
conf1,17.1mrs0,1420.865478515625,608.75830078125,0.0042791864191964474,1.0,1.2018178701400757,1420.865478515625,634.6824951171875,1279.7040003528446,609.165283203125,708.5141486741338,401.793701171875,1.0,17.1
conf1,19.9mrs0,1933.955810546875,521.4815673828125,0.0058063163036750935,1.0,0.9343727231025696,1933.955810546875,544.6502075195312,1741.3536415552103,512.648193359375,973.2309266326943,394.49005126953125,1.0,19.9
conf1,22.8mrs0,2525.983154296875,381.2800598144531,0.006874307537427491,1.0,0.6571893095970154,2525.983154296875,396.4674987792969,2273.036656046001,338.2113037109375,1266.08297385273,328.1963195800781,1.0,22.8
conf1,25.7mrs0,3196.947021484375,285.57550048828125,0.006901753319680298,1.0,0.4641892611980438,3196.947021484375,296.3328552246094,2878.8311772789625,219.96044921875,1599.0277131110142,265.15313720703125,1.0,25.7
conf1,28.5mrs0,3946.847900390625,152.97125244140625,0.006566277407725564,1.0,0.2609192728996277,3946.847900390625,159.72586059570312,3551.868430545609,90.78874206542969,1972.0734163876818,153.65992736816406,1.0,28.5
conf1,31.4mrs0,4775.6865234375,62.73488998413086,0.005459372315828591,1.0,0.120058074593544,4775.68603515625,66.86872863769531,4298.566326609596,22.85622215270996,2389.23429489377,64.98992156982422,1.0,31.4
conf1,34.2mrs0,5683.4609375,19.71485137939453,0.004084523925761788,1.0,0.04806258901953697,5683.4609375,22.42106056213379,5117.354525042917,-6.015608310699463,2844.4840160988206,18.316570281982422,1.0,34.2
conf1,37.1mrs0,6670.1728515625,6.1936774253845215,0.0029170377615978333,1.0,0.019073735922574997,6670.1728515625,8.708233833312988,6001.789723527418,-7.157995223999023,3341.88053570156,4.1359944343566895,1.0,37.1
conf1,39.9mrs0,7735.8212890625,2.882322311401367,0.002090309686779976,1.0,0.011038748547434807,7735.8212890625,5.1765899658203125,6965.09961568483,-2.805417060852051,3875.3803403943093,1.5367107391357422,1.0,39.9
conf1,42.8mrs0,8880.3955078125,1.241921305656433,0.0014429871666735105,1.0,0.0064738295041024685,8880.3955078125,3.0996410846710205,7993.683358481926,-0.3705856204032898,4436.982419974058,0.37696659564971924,1.0,42.8
conf2,2.9mrs0,85.23699951171875,70.11601257324219,0.0001967511403160227,1.0,0.9077230095863342,85.23699951171875,70.6922607421875,76.3848543292323,51.316898345947266,43.567531233445855,21.844913482666016,2.0,2.9
conf2,5.7mrs0,340.9480285644531,266.4783020019531,0.0006443636792026578,1.0,1.345643401145935,340.9480285644531,271.275634765625,306.0513999018409,235.64047241210938,172.84899276918128,122.82343292236328,2.0,5.7
conf2,8.6mrs0,767.1329956054688,554.9977416992188,0.0013669876043161753,1.0,1.4483890533447266,767.1329956054688,569.3736572265625,690.2987219234635,515.3671875,382.14326394302066,290.78704833984375,2.0,8.6
conf2,11.4mrs0,1363.7921142578125,878.9421997070312,0.002124766211532448,1.0,1.4316458702087402,1363.7921142578125,907.571533203125,1226.7082182309025,847.6673583984375,683.7607968460782,496.97650146484375,2.0,11.4
conf2,14.2mrs0,2130.925048828125,1136.6435546875,0.00313891268531062,1.0,1.333807349205017,2130.925048828125,1180.4398193359375,1917.6806916388832,1124.5345458984375,1067.4857803101054,692.8027954101562,2.0,14.2
conf2,17.1mrs0,3068.5322265625,1182.5347900390625,0.004778028389555577,1.0,1.134035348892212,3068.5322265625,1233.537109375,2762.4141129992677,1184.030029296875,1535.2631157355606,812.12255859375,2.0,17.1
conf2,19.9mrs0,4176.61279296875,984.1199340820312,0.006378208143161315,1.0,0.8584079742431641,4176.61279296875,1027.44580078125,3760.5470957623174,954.354736328125,2083.2990849034786,774.826416015625,2.0,19.9
conf2,22.8mrs0,5455.16796875,804.2705078125,0.00665398668263484,1.0,0.6408699154853821,5455.16796875,837.9019165039062,4910.046400206422,723.9551391601562,2725.480312437596,694.0770263671875,2.0,22.8
conf2,25.7mrs0,6904.1962890625,492.62945556640625,0.006673535778833222,1.0,0.3980061411857605,6904.1962890625,511.6024475097656,6214.117372758299,356.48065185546875,3451.7515072640053,470.7057189941406,2.0,25.7
conf2,28.5mrs0,8523.69921875,241.3938751220703,0.0060925480450676655,1.0,0.20686693489551544,8523.69921875,252.85325622558594,7668.76768488906,126.33723449707031,4262.256678780474,246.017822265625,2.0,28.5
