conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,errl_fit_sim,errh_fit_sim,errl_fit_obs,errh_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,rchi2_sim,rchi2_obs,conf_,wide_
conf10,0.2mrs0,915.1901245117188,944.9107666015625,0.00015751423337402834,1.0,1.7976469993591309,915.1901245117188,940.4534912109375,915.1901245117188,915.1901245117188,935.4992065429688,945.4251708984375,822.248779296875,812.8450317382812,456.8717346191406,426.5895080566406,5.545420828168255e-16,0.0003826515405924292,10.0,0.2
conf10,0.3mrs0,3660.76025390625,3683.320556640625,0.0004518753116178965,1.0,1.930596947669983,3660.76025390625,3693.572265625,3660.76025390625,3660.76025390625,3652.878173828125,3734.56787109375,3293.87158203125,3296.10546875,1830.1588134765625,1809.1668701171875,5.931410049132503e-16,0.0033763340182351343,10.0,0.3
conf10,0.5mrs0,8236.7109375,7851.0166015625,0.0007296067067996486,1.0,1.9195505380630493,8236.7109375,7986.056640625,8236.7109375,8236.7109375,7881.58251953125,8091.44970703125,7412.18017578125,7250.47216796875,4120.2470703125,4038.294189453125,5.353953360799676e-16,0.007135443423534448,10.0,0.5
conf10,0.7mrs0,14643.0419921875,12994.9990234375,0.000996975772706341,1.0,1.9019464254379272,14643.0419921875,13252.431640625,14643.0419921875,14643.0419921875,13066.078125,13440.5458984375,13180.7646484375,12250.548828125,7315.13232421875,6990.54248046875,5.640601641904677e-16,0.010983489002868788,10.0,0.7
conf10,0.9mrs0,22879.75,18370.876953125,0.0012252675305276124,1.0,1.8266477584838867,22879.75,18877.1328125,22879.75,22879.75,18599.359375,19157.662109375,20594.0234375,17722.791015625,11436.8427734375,10391.8564453125,5.422640951912293e-16,0.014987959438372287,10.0,0.9
conf10,1.0mrs0,32946.8515625,23188.373046875,0.0015053463395641295,1.0,1.7009475231170654,32946.8515625,23915.556640625,32946.8515625,32946.8515625,23529.318359375,24306.00390625,29653.171875,22747.451171875,16481.419921875,13835.55078125,5.387954611283389e-16,0.021517745166255074,10.0,1.0
conf10,1.2mrs0,44844.3125,25883.646484375,0.0018660477380599177,1.0,1.5300973653793335,44844.3125,26765.87109375,44844.3125,44844.3125,26253.126953125,27285.251953125,40363.3984375,25717.548828125,22430.81640625,16490.4140625,5.414975793337778e-16,0.03489523477163891,10.0,1.2
conf10,1.4mrs0,58572.171875,23532.56640625,0.0024106115068663584,1.0,1.2508800029754639,58572.171875,24341.08984375,58572.171875,58572.171875,23679.68359375,25014.703125,52718.296875,23271.892578125,29285.03515625,16649.1796875,5.564982540093688e-16,0.07705952941135794,10.0,1.4
conf10,1.5mrs0,74130.390625,16144.1279296875,0.002849325991489173,1.0,0.8668726086616516,74130.390625,16607.548828125,74130.390625,74130.390625,15847.818359375,17391.185546875,66719.8984375,14349.087890625,37052.05859375,13154.93359375,5.5556572669353e-16,0.2119300584625293,10.0,1.5
conf10,1.7mrs0,91518.984375,10630.857421875,0.0026408805429582955,1.0,0.5694385766983032,91518.984375,10844.052734375,91518.984375,91518.984375,10143.369140625,11576.283203125,82364.171875,6965.0361328125,45757.92578125,9504.892578125,5.563885846432402e-16,0.37596016146087335,10.0,1.7
conf10,1.9mrs0,110737.953125,6726.50341796875,0.0022119062595094044,1.0,0.36940863728523254,110737.953125,6813.58203125,110737.953125,110737.953125,6230.619140625,7431.8173828125,99659.9296875,1949.3287353515625,55374.63671875,6251.52099609375,5.540110550612121e-16,0.5409359683201556,10.0,1.9
conf10,2.0mrs0,131787.28125,4006.2421875,0.0018680410679087233,1.0,0.21915827691555023,131787.28125,4038.740478515625,131787.28125,131787.28125,3564.8740234375,4552.84423828125,118605.59375,-683.0759887695312,65904.1640625,3587.96484375,5.467407396833994e-16,0.7120056650526534,10.0,2.0
conf10,2.2mrs0,154667.03125,6412.58203125,0.0016255094891058943,1.0,0.12401510030031204,154667.03125,2318.1103515625,154667.03125,154667.03125,1931.5638427734375,2753.06494140625,139199.890625,-1173.5289306640625,77334.5234375,1832.025634765625,5.540564028473614e-16,0.848819269197518,10.0,2.2
conf10,2.4mrs0,179377.140625,2520.35302734375,0.0013574860193441714,1.0,0.0650680661201477,179377.140625,1278.1939697265625,179377.140625,179377.140625,966.0888671875,1651.1756591796875,161436.5,-766.443603515625,89681.7109375,773.2740478515625,5.513312862010123e-16,0.9323713328665018,10.0,2.4
conf10,2.6mrs0,205917.484375,1605.0789794921875,0.0010589736124911955,1.0,0.0323953740298748,205917.484375,1475.098388671875,205917.484375,205917.484375,1006.0494995117188,2071.088623046875,185327.0,-273.9574279785156,102959.71875,202.96978759765625,5.484954834999702e-16,0.9639129379569223,10.0,2.6
