conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,errl_fit_sim,errh_fit_sim,errl_fit_obs,errh_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,rchi2_sim,rchi2_obs,conf_,wide_
conf0,4.8mrs0,8.12701416015625,7.480583667755127,0.0030957763991271508,1.0,0.26980605721473694,8.12701416015625,7.735002040863037,8.12701416015625,8.12701416015625,7.095621109008789,8.411678314208984,7.573944568634033,2.547259569168091,3.717555046081543,0.9743479490280151,4.6480165477180145e-16,0.007748673354578033,0.0,4.8
conf0,9.6mrs0,32.508056640625,27.091737747192383,0.01720617885666778,1.0,0.7449812293052673,32.508056640625,28.565410614013672,32.508056640625,32.508056640625,23.835304260253906,33.88323974609375,28.684072494506836,19.086313247680664,15.580527305603027,7.443634033203125,5.643625955803735e-16,0.06859827156118795,0.0,9.6
conf0,14.3mrs0,73.14311981201172,54.0893440246582,0.03524003093268992,1.0,1.060841679573059,73.14311981201172,58.594093322753906,73.14311981201172,73.14311981201172,45.27068328857422,74.30441284179688,66.67559814453125,47.49470520019531,35.675052642822266,25.662960052490234,4.523975694801283e-16,0.1820141443289873,0.0,14.3
conf0,19.1mrs0,130.0322265625,80.51158142089844,0.05395771475699916,1.0,1.1939548254013062,130.0322265625,89.83160400390625,130.0322265625,130.0322265625,65.79054260253906,119.11404418945312,116.4212417602539,81.82501983642578,64.4537124633789,45.935890197753906,5.660109057836395e-16,0.24335775921622202,0.0,19.1
conf0,23.9mrs0,203.17535400390625,97.64390563964844,0.07978760776653221,1.0,1.1978460550308228,203.17535400390625,113.99951171875,203.17535400390625,203.17535400390625,75.45640563964844,163.83802795410156,183.34156799316406,109.33900451660156,99.71043395996094,65.79824829101562,5.273056807981011e-16,0.3562704331755786,0.0,23.9
conf0,28.7mrs0,292.5725402832031,106.06507873535156,0.09950477261792093,1.0,1.1252504587173462,292.5725402832031,128.20407104492188,292.5725402832031,292.5725402832031,74.49275207519531,202.99551391601562,263.2845458984375,124.2254638671875,143.3206329345703,85.80734252929688,4.95228487924282e-16,0.4839082432899699,0.0,28.7
conf0,33.5mrs0,398.2236633300781,104.2402114868164,0.11383110366616274,1.0,1.0238001346588135,398.2236633300781,133.74429321289062,398.2236633300781,398.2236633300781,67.8365478515625,232.55886840820312,358.3656921386719,125.24032592773438,199.59552001953125,97.8874740600586,6.730968617046695e-16,0.5902933686265103,0.0,33.5
conf0,38.3mrs0,520.1287841796875,86.26387786865234,0.12699234282434768,1.0,0.8819799423217773,520.1287841796875,125.80965423583984,520.1287841796875,520.1287841796875,52.24553298950195,248.04811096191406,468.4825439453125,103.47691345214844,258.3205871582031,101.05448913574219,6.159864547084632e-16,0.701504765791139,0.0,38.3
conf0,43.0mrs0,658.2868041992188,63.59109115600586,0.13260648756335924,1.0,0.722711443901062,658.2868041992188,109.71112060546875,658.2868041992188,658.2868041992188,34.30866241455078,253.0425262451172,592.1565551757812,65.72632598876953,329.421142578125,97.66091918945312,6.373234284987144e-16,0.7979297654579669,0.0,43.0
conf0,47.8mrs0,812.6832885742188,16.84247589111328,0.13307553331715255,1.0,0.6141079664230347,812.6832885742188,92.35122680664062,812.6832885742188,812.6832885742188,20.206130981445312,252.01422119140625,732.0109252929688,30.631675720214844,405.1828308105469,87.30638122558594,6.460569516519554e-16,0.8671654614960691,0.0,47.8
conf0,52.6mrs0,983.2412719726562,17.78131866455078,0.12816852514671598,1.0,0.60298091173172,983.2412719726562,72.64398193359375,983.2412719726562,983.2412719726562,9.282790184020996,243.37030029296875,883.50244140625,-9.569318771362305,487.4105224609375,72.71354675292969,6.463891300975541e-16,0.9195393527531702,0.0,52.6
conf0,57.4mrs0,1169.7044677734375,16.964433670043945,0.11879916444554885,1.0,0.5556449294090271,1169.7044677734375,56.03270721435547,1169.7044677734375,1169.7044677734375,3.4718098640441895,231.3618621826172,1054.693115234375,-39.84023666381836,582.0245361328125,56.5246696472168,6.671938679190033e-16,0.9525933582035255,0.0,57.4
conf0,62.2mrs0,1371.4788818359375,27.277738571166992,0.1074665210690733,1.0,0.5117897987365723,1371.4788818359375,42.324684143066406,1371.4788818359375,1371.4788818359375,0.879890501499176,217.2584228515625,1234.7816162109375,-57.46910095214844,685.2457275390625,40.52336883544922,7.398886687243706e-16,0.9746741429129034,0.0,62.2
conf0,67.0mrs0,1587.5028076171875,24.84199333190918,0.09456128973882662,1.0,0.46853646636009216,1587.5028076171875,32.98967742919922,1587.5028076171875,1587.5028076171875,0.1928969919681549,198.81753540039062,1434.109375,-61.14329147338867,794.9261474609375,28.52010154724121,8.246593068920297e-16,0.9865789982458175,0.0,67.0
conf0,71.7mrs0,1816.2059326171875,20.83395767211914,0.08275014502085,1.0,0.413158655166626,1816.2059326171875,27.451335906982422,1816.2059326171875,1816.2059326171875,0.07926180958747864,175.95957946777344,1644.393798828125,-57.120635986328125,913.0201416015625,20.168733596801758,8.706675750755486e-16,0.9913727965782457,0.0,71.7
