conf,conf_float,mrs,mrs_errl,mrs_errh,mrs_err20
conf0,0.0,35.48633396333963,2.582229622296225,2.2880415804158076,7.097266792667927
conf1,1.0,28.09856658566586,0.5724985249852566,0.6002760027600225,5.619713317133172
conf2,2.0,28.530765307653073,0.3305049050490467,0.32768007680077105,5.706153061530615
conf3,3.0,30.527683476834767,0.42490124901248905,0.42395963959639715,6.105536695366954
conf4,4.0,15.06881088810888,0.15889658896588976,0.16313383133831394,3.0137621776217762
conf5,5.0,9.858179781797817,0.006970769707695723,0.00870438704387233,1.9716359563595636
conf6,6.0,7.978491984919849,0.02000920009200069,-0.7657638576385759,1.5956983969839698
conf7,7.0,3.807641876418764,0.05972179721797177,0.06748347483474904,0.7615283752837528
conf8,8.0,2.832344073440735,0.030880058800588195,0.02950064500645011,0.566468814688147
conf9,9.0,0.9406755067550675,0.012996629966299578,0.01335193351933528,0.18813510135101352
conf10,10.0,1.2521491214912153,0.02388123881238835,0.024081440814408106,0.25042982429824306
