conf,conf_float,mrs,mrs_errl,mrs_errh,mrs_err20
conf0,0.0,25.97491119911199,13.447075120751206,51.18122656226562,5.194982239822398
conf1,1.0,18.92940949409494,4.592935329353294,2.780808008080079,3.7858818988189884
conf2,2.0,20.294978549785494,1.512695526955266,2.777747777477778,4.058995709957099
conf3,3.0,21.524485044850447,2.1607582075820737,1.7977677776777767,4.30489700897009
conf4,4.0,17.61045010450104,1.1393473934739298,1.006109661096616,3.522090020900208
conf5,5.0,15.146258262582622,0.41007090070900354,0.3973591735917399,3.0292516525165247
conf6,6.0,9.149147891478915,0.12617566175661743,0.12805888058880477,1.829829578295783
conf7,7.0,4.7124702247022485,0.04985799857998696,0.04996579965799608,0.9424940449404497
conf8,8.0,3.081923919239193,0.02721207212072141,0.0273374733747338,0.6163847838478387
conf9,9.0,0.7916911169111693,0.026535565355653712,0.026142861428614106,0.15833822338223388
conf10,10.0,0.9546346463464637,0.023924139241392472,0.027699376993769897,0.19092692926929275
