conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,errl_fit_sim,errh_fit_sim,errl_fit_obs,errh_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,rchi2_sim,rchi2_obs,conf_,wide_
conf9,0.1mrs0,218.92173767089844,227.314697265625,0.00013477321398093058,1.0,1.3336368799209595,218.92173767089844,224.37542724609375,218.92173767089844,218.92173767089844,223.34225463867188,225.4117431640625,197.13929748535156,173.63681030273438,106.08323669433594,73.27394104003906,6.989243089740083e-16,0.00014118570321904354,9.0,0.1
conf9,0.2mrs0,875.6868286132812,908.6689453125,0.0003608938879852574,1.0,1.7666287422180176,875.6868286132812,902.7188720703125,875.6868286132812,875.6868286132812,896.4822387695312,908.9843139648438,788.9873046875,778.5960693359375,434.8492126464844,400.73101806640625,6.155600646550057e-16,0.0006404181974386661,9.0,0.2
conf9,0.3mrs0,1970.29541015625,2014.8359375,0.0006428788219259001,1.0,1.878204584121704,1970.29541015625,2010.6007080078125,1970.29541015625,1970.29541015625,1991.7965087890625,2029.5225830078125,1770.875244140625,1773.05224609375,982.8167724609375,954.3385009765625,5.875037507545825e-16,0.0017767091932413127,9.0,0.3
conf9,0.5mrs0,3502.74755859375,3494.95654296875,0.0009341619776993695,1.0,1.9028087854385376,3502.74755859375,3503.99462890625,3502.74755859375,3502.74755859375,3464.856689453125,3543.427001953125,3152.85107421875,3129.25146484375,1749.918212890625,1711.0172119140625,6.084190869862428e-16,0.003390955432834986,9.0,0.5
conf9,0.6mrs0,5473.04150390625,5281.22509765625,0.0011910888016355308,1.0,1.909500241279602,5473.04150390625,5324.0859375,5473.04150390625,5473.04150390625,5259.01904296875,5389.6865234375,4927.6279296875,4802.86962890625,2736.22265625,2660.747314453125,5.88309885653629e-16,0.005067179413244739,9.0,0.6
conf9,0.7mrs0,7881.18212890625,7311.57373046875,0.0014157900975830663,1.0,1.8892825841903687,7881.18212890625,7401.3203125,7881.18212890625,7881.18212890625,7307.04541015625,7496.404296875,7090.84423828125,6742.69140625,3937.69287109375,3782.135009765625,5.830684594526881e-16,0.006611175396774218,9.0,0.7
conf9,0.8mrs0,10727.1630859375,9549.0478515625,0.001639573260520755,1.0,1.8695337772369385,10727.1630859375,9676.7314453125,10727.1630859375,10727.1630859375,9548.54296875,9806.0576171875,9655.736328125,8888.19140625,5358.3583984375,5055.35986328125,5.710991010074509e-16,0.008340264362678845,9.0,0.8
conf9,0.9mrs0,14010.9853515625,11943.22265625,0.0018273302960005388,1.0,1.83321213722229,14010.9853515625,12126.857421875,14010.9853515625,14010.9853515625,11964.65625,12290.51953125,12611.8427734375,11220.515625,7010.1787109375,6458.58984375,5.644638132219642e-16,0.009713951143726742,9.0,0.9
conf9,1.0mrs0,17732.65625,14430.97265625,0.0020036270224812022,1.0,1.8000729084014893,17732.65625,14685.8037109375,17732.65625,17732.65625,14488.0166015625,14885.3828125,15955.583984375,13677.8515625,8865.1796875,7959.9052734375,5.647695230266822e-16,0.01107315752556301,9.0,1.0
conf9,1.1mrs0,21892.17578125,16926.93359375,0.0021639329251821326,1.0,1.7642879486083984,21892.17578125,17281.806640625,21892.17578125,21892.17578125,17048.07421875,17517.666015625,19705.796875,16206.119140625,10955.349609375,9532.771484375,5.675630412602519e-16,0.012403222000449344,9.0,1.1
conf9,1.2mrs0,26489.5234375,19361.3359375,0.002345618666977478,1.0,1.709383249282837,26489.5234375,19798.91015625,26489.5234375,26489.5234375,19527.935546875,20072.3828125,23843.234375,18673.484375,13244.693359375,11178.4462890625,5.641525034592561e-16,0.013936705903570627,9.0,1.2
conf9,1.4mrs0,31524.716796875,21629.95703125,0.00249824621960621,1.0,1.6590466499328613,31524.716796875,22153.455078125,31524.716796875,31524.716796875,21848.03515625,22461.70703125,28368.30859375,21014.669921875,15763.23046875,12786.6015625,5.7816275150474765e-16,0.015409382874971508,9.0,1.4
conf9,1.5mrs0,36997.765625,24627.828125,0.002675884547343672,1.0,1.5921132564544678,36997.765625,24164.935546875,36997.765625,36997.765625,23822.0,24511.15625,33296.6484375,23047.51953125,18494.9375,14273.666015625,5.617663748152278e-16,0.017652596843485503,9.0,1.5
conf9,1.6mrs0,42908.6640625,26047.828125,0.0029285068730752887,1.0,1.5154343843460083,42908.6640625,25572.244140625,42908.6640625,42908.6640625,25183.720703125,25964.76171875,38616.2109375,24490.240234375,21457.82421875,15512.642578125,5.708304036752299e-16,0.021711102760584727,9.0,1.6
conf9,1.7mrs0,49257.37890625,27036.748046875,0.00322778526814101,1.0,1.41861093044281,49257.37890625,26278.24609375,49257.37890625,49257.37890625,25839.734375,26721.6953125,44328.2109375,25240.390625,24639.875,16388.076171875,5.538532044306144e-16,0.02788474607747461,9.0,1.7
