conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,errl_fit_sim,errh_fit_sim,errl_fit_obs,errh_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,rchi2_sim,rchi2_obs,conf_,wide_
conf5,2.9mrs0,1518.066650390625,1502.6005859375,0.0008513549065333353,1.0,1.8809832334518433,1518.066650390625,1515.34521484375,1518.066650390625,1518.066650390625,1508.708740234375,1522.0009765625,1367.2109375,1349.7083740234375,757.4036865234375,742.8455810546875,5.200056032019476e-16,0.0003414159227014593,5.0,2.9
conf5,5.7mrs0,6072.2666015625,5754.60107421875,0.00307527249292586,1.0,1.9281647205352783,6072.2666015625,5860.1396484375,6072.2666015625,6072.2666015625,5820.97509765625,5899.48046875,5465.75390625,5329.60205078125,3030.17626953125,2979.277587890625,5.835840744460279e-16,0.0015980101360602436,5.0,5.7
conf5,8.6mrs0,13662.5986328125,12517.814453125,0.006289749794605505,1.0,1.9190348386764526,13662.5986328125,12792.9130859375,13662.5986328125,13662.5986328125,12698.28515625,12888.009765625,12296.10546875,11709.248046875,6820.71533203125,6637.85205078125,5.480482109175955e-16,0.0023830316430058485,5.0,8.6
conf5,11.4mrs0,24289.06640625,21974.291015625,0.007807754788405594,1.0,1.9149001836776733,24289.06640625,22558.4140625,24289.06640625,24289.06640625,22373.6328125,22744.203125,21862.298828125,20722.2890625,12147.08203125,11746.7548828125,5.582978571721675e-16,0.002963278838814329,5.0,11.4
conf5,14.2mrs0,37951.66796875,33549.50390625,0.008612507734956941,1.0,1.941938042640686,37951.66796875,34633.0,37951.66796875,37951.66796875,34325.96875,34941.86328125,34154.3125,32118.9453125,18981.302734375,18488.8125,5.437146845229725e-16,0.0035311479445074307,5.0,14.2
conf5,17.1mrs0,54650.3828125,46429.55078125,0.009255838417437363,1.0,1.956418752670288,54650.3828125,48060.4765625,54650.3828125,54650.3828125,47616.1875,48507.51953125,49186.1328125,45063.34375,27325.32421875,26546.353515625,5.524999079016871e-16,0.003915674301335625,5.0,17.1
conf5,19.9mrs0,74385.1875,59668.2109375,0.00923061569245814,1.0,1.9539082050323486,74385.1875,61933.8515625,74385.1875,74385.1875,61347.1640625,62524.28515625,66949.3984375,58609.55859375,37201.1484375,35521.8046875,5.577690988418375e-16,0.004201259342284654,5.0,19.9
conf5,22.8mrs0,97156.203125,72290.0703125,0.009576156116504272,1.0,1.920400619506836,97156.203125,75242.9765625,97156.203125,97156.203125,74515.78125,75974.875,87440.09375,71678.1875,48576.83203125,44886.6640625,5.68073595309778e-16,0.004471727038913291,5.0,22.8
conf5,25.7mrs0,122963.390625,83539.8515625,0.00948055913061652,1.0,1.8591028451919556,122963.390625,87125.765625,122963.390625,122963.390625,86256.828125,88000.578125,110671.3828125,83364.7109375,61474.33984375,54160.9375,5.707655733195663e-16,0.0048699758913877695,5.0,25.7
conf5,28.5mrs0,151806.703125,92787.46875,0.010045563634897378,1.0,1.7744784355163574,151806.703125,97033.78125,151806.703125,151806.703125,95997.640625,98077.34375,136624.109375,92991.90625,75903.6484375,62704.04296875,5.776336025734072e-16,0.0057070754878600525,5.0,28.5
conf5,31.4mrs0,183686.03125,99725.71875,0.011232001017123404,1.0,1.6655086278915405,183686.03125,104676.4375,183686.03125,183686.03125,103425.984375,105936.8515625,165311.46875,100148.2890625,91848.796875,70192.1953125,5.840250981972434e-16,0.007301778892852564,5.0,31.4
conf5,34.2mrs0,218601.46875,104193.40625,0.011433220839124677,1.0,1.5361210107803345,218601.46875,109725.3359375,218601.46875,218601.46875,108209.265625,111255.2734375,196739.859375,104487.3515625,109303.7734375,76295.2578125,5.98205633875435e-16,0.00997887629607617,5.0,34.2
conf5,37.1mrs0,256553.125,107842.5625,0.008929292015661675,1.0,1.4116610288619995,256553.125,113721.921875,256553.125,256553.125,111931.7109375,115530.6171875,230902.46875,107605.171875,128252.5390625,81636.09375,6.102050860671093e-16,0.01328577110078124,5.0,37.1
conf5,39.9mrs0,297540.84375,115066.3515625,0.007830998854333237,1.0,1.326595664024353,297540.84375,121483.59375,297540.84375,297540.84375,119457.2109375,123531.859375,267783.6875,114613.234375,148769.15625,88685.0546875,6.202463956801491e-16,0.01558027914529731,5.0,39.9
conf5,42.8mrs0,341564.40625,122066.203125,0.011016585386532246,1.0,1.2693519592285156,341564.40625,129286.6171875,341564.40625,341564.40625,127130.8515625,131465.0625,307408.8125,121967.421875,170773.59375,95660.515625,6.260440653916794e-16,0.01643248009417699,5.0,42.8
