conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,errl_fit_sim,errh_fit_sim,errl_fit_obs,errh_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,conf_,wide_
conf5,2.9mrs0,1049.0,1065.7347412109375,0.00011598397877998255,1.0,1.993870735168457,,,,,,,1049.0,1035.5694580078125,1049.0,851.5628662109375,5.0,2.9
conf5,5.7mrs0,4197.0,4253.4365234375,0.0001758992449620313,1.0,1.992490291595459,,,,,,,4197.0,4200.90966796875,4197.0,3859.39697265625,5.0,5.7
conf5,8.6mrs0,9449.0,9548.625,0.00025600133395300035,1.0,1.9900193214416504,,,,,,,9449.0,9479.1640625,9449.0,8973.1171875,5.0,8.6
conf5,11.4mrs0,16841.0,16949.82421875,0.0003810741305101284,1.0,1.9852863550186157,,,,,,,16841.0,16866.390625,16841.0,16193.4169921875,5.0,11.4
conf5,14.2mrs0,26317.0,26333.716796875,0.00054842331036104,1.0,1.977443814277649,,,,,,,26317.0,26239.81640625,26317.0,25414.9375,5.0,14.2
conf5,17.1mrs0,37889.0,37488.3203125,0.0008507036957341714,1.0,1.964020848274231,,,,,,,37889.0,37394.30078125,37889.0,36413.953125,5.0,17.1
conf5,19.9mrs0,51577.0,50325.1328125,0.001250777112741983,1.0,1.9550671577453613,,,,,,,51577.0,50235.53125,51577.0,49136.31640625,5.0,19.9
conf5,22.8mrs0,67373.0,65064.2421875,0.0015636301375833313,1.0,1.950731635093689,,,,,,,67373.0,64973.4609375,67373.0,63764.30859375,5.0,22.8
conf5,25.7mrs0,85217.0,81702.0,0.0017712825000760011,1.0,1.9507455825805664,,,,,,,85217.0,81605.953125,85217.0,80194.296875,5.0,25.7
conf5,28.5mrs0,105233.0,100068.6328125,0.0020100535220560945,1.0,1.9516435861587524,,,,,,,105233.0,99963.46875,105233.0,98448.84375,5.0,28.5
conf5,31.4mrs0,127365.0,115233.90625,0.003117553040137091,1.0,1.9250068664550781,,,,,,,127365.0,115162.4296875,127365.0,113615.6796875,5.0,31.4
conf5,34.2mrs0,151537.0,124244.75,0.004987455228121983,1.0,1.892039179801941,,,,,,,151537.0,124205.921875,151537.0,122659.4296875,5.0,34.2
conf5,37.1mrs0,177853.0,120056.921875,0.008053720196747084,1.0,1.851081132888794,,,,,,,177853.0,120030.40625,177853.0,118635.015625,5.0,37.1
conf5,39.9mrs0,206293.0,99571.6171875,0.012064504208119374,1.0,1.7995026111602783,,,,,,,206293.0,97554.9609375,206293.0,96324.546875,5.0,39.9
conf5,42.8mrs0,236785.0,107370.1015625,0.01226114674138653,1.0,1.8185899257659912,,,,,,,236785.0,100850.9296875,236785.0,99492.7578125,5.0,42.8
