conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,errl_fit_sim,errh_fit_sim,errl_fit_obs,errh_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,conf_,wide_
conf6,2.9mrs0,3341.0,3466.4814453125,0.001050884048602669,1.0,2.0517358779907227,,,,,,,3341.0,3413.61669921875,3341.0,3068.867431640625,6.0,2.9
conf6,5.7mrs0,13373.0,13119.9208984375,0.0026114226177167124,1.0,1.9815534353256226,,,,,,,13373.0,13088.814453125,13373.0,12516.4091796875,6.0,5.7
conf6,8.6mrs0,30041.0,27072.490234375,0.0059589782032290935,1.0,1.904396891593933,,,,,,,30041.0,27062.046875,30041.0,26377.41015625,6.0,8.6
conf6,11.4mrs0,53457.0,43777.8046875,0.011407480321302227,1.0,1.8571810722351074,,,,,,,53457.0,43770.125,53457.0,42999.3671875,6.0,11.4
conf6,14.2mrs0,83445.0,62013.6328125,0.01839169249646149,1.0,1.8335344791412354,,,,,,,83445.0,62004.3203125,83445.0,61118.3984375,6.0,14.2
conf6,17.1mrs0,120213.0,83709.4375,0.026696990285580174,1.0,1.8482953310012817,,,,,,,120213.0,83702.625,120213.0,82633.2578125,6.0,17.1
conf6,19.9mrs0,163597.0,111639.21875,0.03371729193152183,1.0,1.858627438545227,,,,,,,163597.0,111649.0703125,163597.0,110245.2421875,6.0,19.9
conf6,22.8mrs0,213665.0,149161.234375,0.03796908089579751,1.0,2.0048420429229736,,,,,,,213665.0,149088.609375,213665.0,147280.046875,6.0,22.8
conf6,25.7mrs0,270369.0,203248.515625,0.04277814199122853,1.0,2.1632132530212402,,,,,,,270369.0,192200.796875,270369.0,190117.328125,6.0,25.7
conf6,28.5mrs0,333757.0,241942.03125,0.04790504504554539,1.0,2.3390181064605713,,,,,,,333757.0,231348.328125,333757.0,229156.109375,6.0,28.5
conf6,31.4mrs0,403917.0,264107.8125,0.054186394169062395,1.0,2.545616865158081,,,,,,,403917.0,258150.140625,403917.0,256242.65625,6.0,31.4
conf6,34.2mrs0,480741.0,286874.8125,0.058348134125167865,1.0,2.3190553188323975,,,,,,,480741.0,284767.1875,480741.0,283514.625,6.0,34.2
conf6,37.1mrs0,564153.0,304340.1875,0.06764782062135052,1.0,2.2001380920410156,,,,,,,564153.0,304862.53125,564153.0,304080.03125,6.0,37.1
conf6,39.9mrs0,654393.0,311060.1875,0.07987837478077835,1.0,2.929339647293091,,,,,,,654393.0,313730.40625,654393.0,313238.6875,6.0,39.9
conf6,42.8mrs0,751077.0,308711.625,0.09005350399286001,1.0,3.4690749645233154,,,,,,,751077.0,317380.28125,751077.0,317059.0625,6.0,42.8
