conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,errl_fit_sim,errh_fit_sim,errl_fit_obs,errh_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,conf_,wide_
conf4,2.9mrs0,373.0,378.33050537109375,0.0005058011061720869,1.0,1.9674745798110962,,,,,,,373.0,360.09228515625,373.0,256.6324157714844,4.0,2.9
conf4,5.7mrs0,1481.0,1483.098876953125,0.0010706266267268031,1.0,2.000514507293701,,,,,,,1481.0,1459.2197265625,1481.0,1267.0501708984375,4.0,5.7
conf4,8.6mrs0,3341.0,3302.093505859375,0.0019413206644605925,1.0,1.9744840860366821,,,,,,,3341.0,3275.2216796875,3341.0,3002.56005859375,4.0,8.6
conf4,11.4mrs0,5957.0,5813.23974609375,0.0031201085204160257,1.0,1.9600679874420166,,,,,,,5957.0,5785.18212890625,5957.0,5437.3203125,4.0,11.4
conf4,14.2mrs0,9265.0,8931.50390625,0.004525153208318852,1.0,1.9496495723724365,,,,,,,9265.0,8903.9140625,9265.0,8486.18359375,4.0,14.2
conf4,17.1mrs0,13373.0,12726.0302734375,0.006117739012085837,1.0,1.9377431869506836,,,,,,,13373.0,12697.82421875,13373.0,12215.28515625,4.0,17.1
conf4,19.9mrs0,18197.0,17120.498046875,0.007605905330306958,1.0,1.9306079149246216,,,,,,,18197.0,17091.9296875,18197.0,16534.951171875,4.0,19.9
conf4,22.8mrs0,23717.0,22066.447265625,0.009189953075284377,1.0,1.9261971712112427,,,,,,,23717.0,22043.43359375,23717.0,21452.123046875,4.0,22.8
conf4,25.7mrs0,30041.0,27584.40234375,0.011354383771986463,1.0,1.9093661308288574,,,,,,,30041.0,27563.916015625,30041.0,26922.349609375,4.0,25.7
conf4,28.5mrs0,37065.0,33571.6796875,0.013490159122353967,1.0,1.89121413230896,,,,,,,37065.0,33554.078125,37065.0,32843.421875,4.0,28.5
conf4,31.4mrs0,44885.0,40047.7421875,0.015669916487215545,1.0,1.883987545967102,,,,,,,44885.0,40036.37109375,44885.0,39297.8671875,4.0,31.4
conf4,34.2mrs0,53457.0,46943.2890625,0.017954584205238364,1.0,1.8763211965560913,,,,,,,53457.0,46936.87109375,53457.0,46172.4765625,4.0,34.2
conf4,37.1mrs0,62697.0,54070.91796875,0.020568468755327,1.0,1.8405656814575195,,,,,,,62697.0,54069.078125,62697.0,53284.7578125,4.0,37.1
conf4,39.9mrs0,72749.0,61251.7109375,0.024181704539089084,1.0,1.8048732280731201,,,,,,,72749.0,61251.9296875,72749.0,60462.31640625,4.0,39.9
conf4,42.8mrs0,83445.0,68157.65625,0.02896831965996149,1.0,1.7881604433059692,,,,,,,83445.0,68161.2265625,83445.0,67370.6015625,4.0,42.8
