conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,errl_fit_sim,errh_fit_sim,errl_fit_obs,errh_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,conf_,wide_
conf5,2.9mrs0,1049.0,1064.9453125,0.0004206808386283442,1.0,1.9945532083511353,,,,,,,1049.0,1034.723388671875,1049.0,863.3743896484375,5.0,2.9
conf5,5.7mrs0,4197.0,4239.99560546875,0.0007485078715535406,1.0,2.0060946941375732,,,,,,,4197.0,4193.4775390625,4197.0,3878.51318359375,5.0,5.7
conf5,8.6mrs0,9449.0,9501.896484375,0.001409412011639016,1.0,2.0245535373687744,,,,,,,9449.0,9437.927734375,9449.0,8968.96875,5.0,8.6
conf5,11.4mrs0,16841.0,16820.015625,0.0022707701581106336,1.0,2.076120138168335,,,,,,,16841.0,16746.11328125,16841.0,16128.96875,5.0,11.4
conf5,14.2mrs0,26317.0,25750.8359375,0.0036492493115941375,1.0,2.0383009910583496,,,,,,,26317.0,25697.0390625,26317.0,24945.14453125,5.0,14.2
conf5,17.1mrs0,37889.0,36566.9375,0.004429173400922342,1.0,2.086618185043335,,,,,,,37889.0,36518.3828125,37889.0,35594.5390625,5.0,17.1
conf5,19.9mrs0,51577.0,42208.015625,0.01309720544323932,1.0,1.9267631769180298,,,,,,,51577.0,42197.1875,51577.0,41419.43359375,5.0,19.9
conf5,22.8mrs0,67373.0,42340.30859375,0.021815907657608706,1.0,1.7878139019012451,,,,,,,67373.0,42313.3671875,67373.0,41702.78515625,5.0,22.8
conf5,25.7mrs0,85217.0,30808.498046875,0.033291489474432924,1.0,1.7059060335159302,,,,,,,85217.0,26661.244140625,85217.0,26249.98046875,5.0,25.7
conf5,28.5mrs0,105233.0,41423.8359375,0.02677994760296955,1.0,1.7473280429840088,,,,,,,105233.0,35313.08203125,105233.0,34649.3359375,5.0,28.5
conf5,31.4mrs0,127365.0,52670.984375,0.021405922045904212,1.0,1.8275325298309326,,,,,,,127365.0,42908.48828125,127365.0,41985.21484375,5.0,31.4
conf5,34.2mrs0,151537.0,63015.9765625,0.020880526622958768,1.0,2.0085771083831787,,,,,,,151537.0,50912.76953125,151537.0,49843.43359375,5.0,34.2
conf5,37.1mrs0,177853.0,74293.453125,0.022522439444142832,1.0,2.100468635559082,,,,,,,177853.0,62891.5546875,177853.0,61739.91796875,5.0,37.1
conf5,39.9mrs0,206293.0,90992.4765625,0.017849392172770404,1.0,2.0745296478271484,,,,,,,206293.0,77966.921875,206293.0,76541.9609375,5.0,39.9
conf5,42.8mrs0,236785.0,88381.015625,0.0273939366910005,1.0,1.9643820524215698,,,,,,,236785.0,79519.4765625,236785.0,78342.953125,5.0,42.8
