conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,errl_fit_sim,errh_fit_sim,errl_fit_obs,errh_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,conf_,wide_
conf7,0.7mrs0,365.0,371.82427978515625,0.00024028213566894272,1.0,1.963064432144165,,,,,,,365.0,351.7305908203125,365.0,250.3626251220703,7.0,0.7
conf7,1.3mrs0,1465.0,1489.162841796875,0.0003051937252308406,1.0,1.996403694152832,,,,,,,1465.0,1458.2225341796875,1465.0,1267.869384765625,7.0,1.3
conf7,2.0mrs0,3297.0,3343.57763671875,0.0004640527205554813,1.0,2.0008511543273926,,,,,,,3297.0,3301.760498046875,3297.0,3024.79443359375,7.0,2.0
conf7,2.6mrs0,5845.0,5912.412109375,0.0007066811697693971,1.0,2.0175487995147705,,,,,,,5845.0,5858.62744140625,5845.0,5510.123046875,7.0,2.6
conf7,3.3mrs0,9133.0,9201.228515625,0.0010626968019304117,1.0,2.0486128330230713,,,,,,,9133.0,9141.875,9133.0,8691.478515625,7.0,3.3
conf7,3.9mrs0,13157.0,13196.134765625,0.001493741911556978,1.0,2.047236680984497,,,,,,,13157.0,13129.5712890625,13157.0,12606.046875,7.0,3.9
conf7,4.6mrs0,17905.0,17824.283203125,0.0020396267425041026,1.0,2.073150157928467,,,,,,,17905.0,17756.2265625,17905.0,17153.158203125,7.0,4.6
conf7,5.2mrs0,23365.0,22838.099609375,0.0030566923597347678,1.0,2.0089902877807617,,,,,,,23365.0,22786.34375,23365.0,22108.03125,7.0,5.2
conf7,5.9mrs0,29581.0,28243.353515625,0.0042671874330427574,1.0,1.9822624921798706,,,,,,,29581.0,28199.87109375,29581.0,27480.85546875,7.0,5.9
conf7,6.5mrs0,36533.0,33798.7421875,0.005513552087772384,1.0,1.987587809562683,,,,,,,36533.0,33765.1640625,36533.0,32999.84765625,7.0,6.5
conf7,7.2mrs0,44221.0,38402.3203125,0.007543632111028315,1.0,1.9655348062515259,,,,,,,44221.0,38379.24609375,44221.0,37642.11328125,7.0,7.2
conf7,7.8mrs0,52633.0,41046.0078125,0.010042003981697814,1.0,1.939021110534668,,,,,,,52633.0,41018.8125,52633.0,40354.72265625,7.0,7.8
conf7,8.5mrs0,61773.0,39723.71875,0.013571753608979973,1.0,1.8767271041870117,,,,,,,61773.0,39673.640625,61773.0,39123.47265625,7.0,8.5
conf7,9.1mrs0,71593.0,33951.38671875,0.01723172054203843,1.0,1.8608590364456177,,,,,,,71593.0,33727.984375,71593.0,33337.5234375,7.0,9.1
conf7,9.8mrs0,82189.0,32331.68359375,0.018058405122257457,1.0,1.779705286026001,,,,,,,82189.0,29494.734375,82189.0,29135.9296875,7.0,9.8
