conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,errl_fit_sim,errh_fit_sim,errl_fit_obs,errh_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,conf_,wide_
conf7,0.7mrs0,365.0,391.2735595703125,0.0014251296996939476,1.0,2.0226190090179443,,,,,,,365.0,363.2928771972656,365.0,257.2949523925781,7.0,0.7
conf7,1.3mrs0,1465.0,1523.1361083984375,0.0029242727083986157,1.0,2.0622718334198,,,,,,,1465.0,1490.8326416015625,1465.0,1296.32958984375,7.0,1.3
conf7,2.0mrs0,3297.0,3353.33447265625,0.004911330014701358,1.0,2.0483479499816895,,,,,,,3297.0,3321.2529296875,3297.0,3052.06591796875,7.0,2.0
conf7,2.6mrs0,5845.0,5812.4970703125,0.007548646416922115,1.0,2.0403337478637695,,,,,,,5845.0,5782.7001953125,5845.0,5461.7236328125,7.0,2.6
conf7,3.3mrs0,9133.0,8786.0673828125,0.010813631994091851,1.0,2.0611164569854736,,,,,,,9133.0,8765.451171875,9133.0,8384.400390625,7.0,3.3
conf7,3.9mrs0,13157.0,12256.283203125,0.014547617759284691,1.0,2.0115530490875244,,,,,,,13157.0,12239.173828125,13157.0,11821.2587890625,7.0,3.9
conf7,4.6mrs0,17905.0,16031.3515625,0.01822984011913546,1.0,1.9708833694458008,,,,,,,17905.0,16025.53125,17905.0,15597.548828125,7.0,4.6
conf7,5.2mrs0,23365.0,19549.443359375,0.023289985177760875,1.0,1.9253590106964111,,,,,,,23365.0,19546.9296875,23365.0,19158.22265625,7.0,5.2
conf7,5.9mrs0,29581.0,22323.015625,0.030989075960087067,1.0,1.8610845804214478,,,,,,,29581.0,22308.728515625,29581.0,21973.677734375,7.0,5.9
conf7,6.5mrs0,36533.0,24076.0078125,0.04061954233233162,1.0,1.8943500518798828,,,,,,,36533.0,24014.1015625,36533.0,23781.208984375,7.0,6.5
conf7,7.2mrs0,44221.0,24584.40234375,0.05139525048819515,1.0,1.9138760566711426,,,,,,,44221.0,24413.431640625,44221.0,24325.17578125,7.0,7.2
conf7,7.8mrs0,52633.0,22347.4609375,0.06307171935882007,1.0,1.9262608289718628,,,,,,,52633.0,22273.1875,52633.0,22315.54296875,7.0,7.8
conf7,8.5mrs0,61773.0,31429.89453125,0.06303523360391498,1.0,1.8175408840179443,,,,,,,61773.0,24219.55078125,61773.0,24168.326171875,7.0,8.5
conf7,9.1mrs0,71593.0,27207.1171875,0.06106485923782576,1.0,1.8490855693817139,,,,,,,71593.0,26744.05078125,71593.0,26749.294921875,7.0,9.1
conf7,9.8mrs0,82189.0,28278.6953125,0.0575539641739416,1.0,1.7868127822875977,,,,,,,82189.0,26969.0703125,82189.0,27170.509765625,7.0,9.8
