conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,errl_fit_sim,errh_fit_sim,errl_fit_obs,errh_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,conf_,wide_
conf6,2.9mrs0,3341.0,3395.31884765625,0.0001417871171744097,1.0,1.9976075887680054,,,,,,,3341.0,3343.037109375,3341.0,3002.251953125,6.0,2.9
conf6,5.7mrs0,13373.0,13507.138671875,0.0002686885746688465,1.0,1.9878673553466797,,,,,,,13373.0,13422.3349609375,13373.0,12767.4736328125,6.0,5.7
conf6,8.6mrs0,30041.0,30021.8125,0.0005228721321215967,1.0,1.9764909744262695,,,,,,,30041.0,29917.06640625,30041.0,28984.76171875,6.0,8.6
conf6,11.4mrs0,53457.0,52408.2890625,0.0010034505996132674,1.0,1.9582675695419312,,,,,,,53457.0,52302.8671875,53457.0,51084.125,6.0,11.4
conf6,14.2mrs0,83445.0,79072.859375,0.0018119128414958712,1.0,1.9318997859954834,,,,,,,83445.0,78987.53125,83445.0,77534.171875,6.0,14.2
conf6,17.1mrs0,120213.0,106846.8359375,0.0029858973058423115,1.0,1.8908824920654297,,,,,,,120213.0,106794.765625,120213.0,105211.65625,6.0,17.1
conf6,19.9mrs0,163597.0,124062.40625,0.00476763697758249,1.0,1.8036609888076782,,,,,,,163597.0,124045.75,163597.0,122504.640625,6.0,19.9
conf6,22.8mrs0,213665.0,100178.8203125,0.008193779018496963,1.0,1.6768766641616821,,,,,,,213665.0,99701.25,213665.0,98508.5546875,6.0,22.8
conf6,25.7mrs0,270369.0,113427.578125,0.008099318415302478,1.0,1.7640178203582764,,,,,,,270369.0,104534.59375,270369.0,103024.296875,6.0,25.7
conf6,28.5mrs0,333757.0,142724.671875,0.007258765961960944,1.0,1.79534113407135,,,,,,,333757.0,125451.7734375,333757.0,123455.8984375,6.0,28.5
conf6,31.4mrs0,403917.0,182382.421875,0.006628063211341117,1.0,1.8703320026397705,,,,,,,403917.0,157766.15625,403917.0,155300.765625,6.0,31.4
conf6,34.2mrs0,480741.0,202626.515625,0.007159405657688626,1.0,1.775886058807373,,,,,,,480741.0,177327.8125,480741.0,174920.34375,6.0,34.2
conf6,37.1mrs0,564153.0,248442.84375,0.006830258555059029,1.0,1.8433879613876343,,,,,,,564153.0,221548.4375,564153.0,218632.71875,6.0,37.1
conf6,39.9mrs0,654393.0,223320.265625,0.013652400879898104,1.0,1.7821992635726929,,,,,,,654393.0,213084.34375,654393.0,210637.84375,6.0,39.9
conf6,42.8mrs0,751077.0,221253.03125,0.01543046422245138,1.0,1.7674620151519775,,,,,,,751077.0,214137.859375,751077.0,211757.375,6.0,42.8
