conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,errl_fit_sim,errh_fit_sim,errl_fit_obs,errh_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,conf_,wide_
conf2,2.9mrs0,61.0,59.39717102050781,0.0003252361054112027,1.0,1.1858189105987549,,,,,,,61.0,54.937889099121094,61.0,30.338533401489258,2.0,2.9
conf2,5.7mrs0,241.0,233.06155395507812,0.0007019165263248389,1.0,1.8660825490951538,,,,,,,241.0,221.89254760742188,241.0,157.53289794921875,2.0,5.7
conf2,8.6mrs0,529.0,508.1546936035156,0.0010797182060657792,1.0,1.927144169807434,,,,,,,529.0,495.0653076171875,529.0,400.0703125,2.0,8.6
conf2,11.4mrs0,949.0,905.9771118164062,0.0015096257248157778,1.0,1.9244918823242188,,,,,,,949.0,894.6805419921875,949.0,767.0445556640625,2.0,11.4
conf2,14.2mrs0,1481.0,1400.02734375,0.0021602393362337873,1.0,1.907080054283142,,,,,,,1481.0,1388.303955078125,1481.0,1229.771484375,2.0,14.2
conf2,17.1mrs0,2129.0,1986.25048828125,0.0028769602503369144,1.0,1.8991976976394653,,,,,,,2129.0,1976.0989990234375,2129.0,1784.89453125,2.0,17.1
conf2,19.9mrs0,2885.0,2653.31884765625,0.0037723034711772472,1.0,1.8700207471847534,,,,,,,2885.0,2643.5673828125,2885.0,2455.66357421875,2.0,19.9
conf2,22.8mrs0,3777.0,3418.057373046875,0.004827027816700509,1.0,1.8339390754699707,,,,,,,3777.0,3410.4755859375,3777.0,3194.16748046875,2.0,22.8
conf2,25.7mrs0,4785.0,4249.7509765625,0.005947205665145508,1.0,1.8180217742919922,,,,,,,4785.0,4243.1572265625,4785.0,4019.88427734375,2.0,25.7
conf2,28.5mrs0,5909.0,5130.873046875,0.007420790936901385,1.0,1.7860374450683594,,,,,,,5909.0,5125.2109375,5909.0,4895.76220703125,2.0,28.5
conf2,31.4mrs0,7145.0,6057.01171875,0.009140708904722213,1.0,1.7684612274169922,,,,,,,7145.0,6052.1259765625,7145.0,5822.59228515625,2.0,31.4
conf2,34.2mrs0,8521.0,7027.7255859375,0.011051508787831694,1.0,1.7286981344223022,,,,,,,8521.0,7023.9287109375,8521.0,6790.23046875,2.0,34.2
conf2,37.1mrs0,9997.0,7974.68408203125,0.013410898155474766,1.0,1.6894292831420898,,,,,,,9997.0,7969.79248046875,9997.0,7726.9013671875,2.0,37.1
conf2,39.9mrs0,11561.0,8760.2236328125,0.01674910999653352,1.0,1.6282305717468262,,,,,,,11561.0,8752.486328125,11561.0,8527.9140625,2.0,39.9
conf2,42.8mrs0,13293.0,9320.35546875,0.02242484032592794,1.0,1.5611681938171387,,,,,,,13293.0,9305.125,13293.0,9108.4423828125,2.0,42.8
