conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,errl_fit_sim,errh_fit_sim,errl_fit_obs,errh_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,conf_,wide_
conf6,2.9mrs0,3341.0,3429.52197265625,0.0049075111198849525,1.0,2.0542266368865967,,,,,,,3341.0,3387.795654296875,3341.0,3090.925537109375,6.0,2.9
conf6,5.7mrs0,13373.0,12408.30859375,0.014000118795447616,1.0,1.9959744215011597,,,,,,,13373.0,12387.3427734375,13373.0,11944.6748046875,6.0,5.7
conf6,8.6mrs0,30041.0,23672.30078125,0.031698493578734104,1.0,1.929184913635254,,,,,,,30041.0,23655.884765625,30041.0,23132.626953125,6.0,8.6
conf6,11.4mrs0,53457.0,39051.69921875,0.04624328626026616,1.0,2.0675764083862305,,,,,,,53457.0,38512.2578125,53457.0,37790.07421875,6.0,11.4
conf6,14.2mrs0,83445.0,60752.84375,0.05698126595840086,1.0,2.162712335586548,,,,,,,83445.0,60361.3828125,83445.0,59288.75,6.0,14.2
conf6,17.1mrs0,120213.0,85838.515625,0.07231841148347469,1.0,2.446587324142456,,,,,,,120213.0,85832.09375,120213.0,85141.84375,6.0,17.1
conf6,19.9mrs0,163597.0,114194.21875,0.07848758044231156,1.0,3.8453831672668457,,,,,,,163597.0,114745.90625,163597.0,113936.3671875,6.0,19.9
conf6,22.8mrs0,213665.0,145078.84375,0.08759508432758338,1.0,3.7432005405426025,,,,,,,213665.0,145647.078125,213665.0,144938.640625,6.0,22.8
conf6,25.7mrs0,270369.0,169411.8125,0.09942732737794531,1.0,3.6403114795684814,,,,,,,270369.0,170666.203125,270369.0,169998.59375,6.0,25.7
conf6,28.5mrs0,333757.0,183734.3125,0.11431231133825774,1.0,4.291308403015137,,,,,,,333757.0,188936.0625,333757.0,188450.90625,6.0,28.5
conf6,31.4mrs0,403917.0,189748.421875,0.13090971769719245,1.0,4.674743175506592,,,,,,,403917.0,204565.0,403917.0,204131.515625,6.0,31.4
conf6,34.2mrs0,480741.0,209774.609375,0.1464278394152688,1.0,4.003436088562012,,,,,,,480741.0,229185.328125,480741.0,228808.34375,6.0,34.2
conf6,37.1mrs0,564153.0,194628.71875,0.17445382580867197,1.0,3.5795958042144775,,,,,,,564153.0,225964.984375,564153.0,226172.03125,6.0,37.1
conf6,39.9mrs0,654393.0,186037.8125,0.199594377754066,1.0,3.541696548461914,,,,,,,654393.0,229206.671875,654393.0,229367.59375,6.0,39.9
conf6,42.8mrs0,751077.0,198621.46875,0.20530709920418047,1.0,3.0307352542877197,,,,,,,751077.0,252152.59375,751077.0,252309.5,6.0,42.8
