conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,errl_fit_sim,errh_fit_sim,errl_fit_obs,errh_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,conf_,wide_
conf5,2.9mrs0,1049.0,1086.3797607421875,0.0006669323706651193,1.0,2.0364034175872803,,,,,,,1049.0,1053.1341552734375,1049.0,865.601318359375,5.0,2.9
conf5,5.7mrs0,4197.0,4249.6298828125,0.0014928984270153628,1.0,2.0116641521453857,,,,,,,4197.0,4206.591796875,4197.0,3872.18603515625,5.0,5.7
conf5,8.6mrs0,9449.0,9378.52734375,0.0025575759591687282,1.0,1.9816900491714478,,,,,,,9449.0,9336.265625,9449.0,8862.0322265625,5.0,8.6
conf5,11.4mrs0,16841.0,16313.474609375,0.004082571501547597,1.0,1.9590601921081543,,,,,,,16841.0,16280.43359375,16841.0,15686.5009765625,5.0,11.4
conf5,14.2mrs0,26317.0,24709.099609375,0.005932761315990876,1.0,1.9167855978012085,,,,,,,26317.0,24684.921875,26317.0,24003.63671875,5.0,14.2
conf5,17.1mrs0,37889.0,34355.73046875,0.008512717317429518,1.0,1.8930164575576782,,,,,,,37889.0,34339.51171875,37889.0,33570.51953125,5.0,17.1
conf5,19.9mrs0,51577.0,45247.0234375,0.011755225852470044,1.0,1.8924105167388916,,,,,,,51577.0,45230.49609375,51577.0,44382.83984375,5.0,19.9
conf5,22.8mrs0,67373.0,57582.734375,0.015595561434928294,1.0,1.9154603481292725,,,,,,,67373.0,57561.6875,67373.0,56636.87109375,5.0,22.8
conf5,25.7mrs0,85217.0,71211.765625,0.019208181390402167,1.0,1.9395204782485962,,,,,,,85217.0,71191.0859375,85217.0,70125.7421875,5.0,25.7
conf5,28.5mrs0,105233.0,86029.0234375,0.022870655821602755,1.0,1.9416111707687378,,,,,,,105233.0,86004.8828125,105233.0,84904.140625,5.0,28.5
conf5,31.4mrs0,127365.0,101864.171875,0.02655845929791304,1.0,1.9384067058563232,,,,,,,127365.0,101840.8359375,127365.0,100705.9921875,5.0,31.4
conf5,34.2mrs0,151537.0,118141.0,0.030880905583184876,1.0,1.917769193649292,,,,,,,151537.0,118117.5078125,151537.0,116936.375,5.0,34.2
conf5,37.1mrs0,177853.0,134442.5,0.03551422088372043,1.0,1.8853083848953247,,,,,,,177853.0,134412.3125,177853.0,133276.0625,5.0,37.1
conf5,39.9mrs0,206293.0,149456.78125,0.04026251657263229,1.0,1.8625154495239258,,,,,,,206293.0,149404.453125,206293.0,148300.59375,5.0,39.9
conf5,42.8mrs0,236785.0,161313.125,0.04639360911694969,1.0,1.8014882802963257,,,,,,,236785.0,161224.96875,236785.0,160261.03125,5.0,42.8
